Date,Timestamp,Open,High,Low,Close,Volume
20190401,00:00:00,1.33493,1.33563,1.33463,1.33548,2348.73000562191
20190401,01:00:00,1.33548,1.3356,1.33457,1.33523,3626.59000551701
20190401,02:00:00,1.33522,1.33554,1.33418,1.33428,2822.32000792027
20190401,03:00:00,1.33429,1.33505,1.33421,1.33483,1966.07000398636
20190401,04:00:00,1.33483,1.33516,1.33478,1.33493,2034.10000538826
20190401,05:00:00,1.33494,1.33516,1.33419,1.33431,2867.48001194
20190401,06:00:00,1.3343,1.33505,1.33401,1.33483,4690.62001848221
20190401,07:00:00,1.33487,1.3355,1.33386,1.33432,5172.29000902176
20190401,08:00:00,1.33431,1.33513,1.33379,1.33475,5190.46000373363
20190401,09:00:00,1.33478,1.33573,1.33465,1.33549,5700.89001297951
20190401,10:00:00,1.33549,1.33622,1.335,1.33515,5083.21000444889
20190401,11:00:00,1.33515,1.33648,1.33443,1.33641,5054.69000709057
20190401,12:00:00,1.33641,1.33706,1.33541,1.33592,7905.00001311302
20190401,13:00:00,1.33592,1.33612,1.33362,1.33481,9831.12001621723
20190401,14:00:00,1.33481,1.3367,1.33365,1.33399,13240.1599977016
20190401,15:00:00,1.33399,1.33512,1.33343,1.33442,8012.43999707699
20190401,16:00:00,1.33442,1.33501,1.33212,1.33218,5648.09999752045
20190401,17:00:00,1.33218,1.33244,1.33132,1.3316,5002.90999209881
20190401,18:00:00,1.33161,1.3317,1.32973,1.33083,6280.4699896574
20190401,19:00:00,1.33084,1.33285,1.33083,1.33124,5333.42998719215
20190401,20:00:00,1.33126,1.33168,1.33056,1.33059,2428.71999639273
20190401,21:00:00,1.33058,1.33121,1.33024,1.33065,2527.44000244141
20190401,22:00:00,1.33066,1.33127,1.33066,1.33098,1523.45000071824
20190401,23:00:00,1.33098,1.33165,1.33097,1.33135,1340.83999991417
20190402,00:00:00,1.33135,1.33154,1.33058,1.33087,2654.46000480652
20190402,01:00:00,1.33087,1.33145,1.33083,1.33107,2844.41000771523
20190402,02:00:00,1.33107,1.33165,1.33104,1.33153,2982.59000349045
20190402,03:00:00,1.33154,1.33223,1.33097,1.33167,5424.39001262188
20190402,04:00:00,1.33166,1.33241,1.3316,1.33227,3421.57001018524
20190402,05:00:00,1.33227,1.33232,1.33079,1.33109,4065.84000265598
20190402,06:00:00,1.33109,1.33265,1.33104,1.33223,4733.25000762939
20190402,07:00:00,1.33223,1.33368,1.33198,1.33281,6068.3400156498
20190402,08:00:00,1.33281,1.3336,1.33253,1.3335,5539.99000036716
20190402,09:00:00,1.3335,1.33357,1.3326,1.33262,4958.99000620842
20190402,10:00:00,1.33262,1.33279,1.3318,1.33199,4289.55000472069
20190402,11:00:00,1.332,1.3321,1.3314,1.33147,5527.73000204563
20190402,12:00:00,1.33147,1.33338,1.33112,1.33274,7608.27001321316
20190402,13:00:00,1.33276,1.33344,1.33198,1.33241,9436.40002095699
20190402,14:00:00,1.33241,1.33482,1.33207,1.33477,10847.6300332546
20190402,15:00:00,1.33477,1.33736,1.33475,1.33568,11729.5099989176
20190402,16:00:00,1.33569,1.33683,1.33541,1.33599,5973.30999934673
20190402,17:00:00,1.33599,1.33604,1.33482,1.33531,6522.12997472286
20190402,18:00:00,1.3353,1.3356,1.33438,1.33463,4472.33999347687
20190402,19:00:00,1.33461,1.33491,1.33359,1.33359,4163.69999265671
20190402,20:00:00,1.3336,1.33375,1.33326,1.33344,2491.16999483109
20190402,21:00:00,1.33339,1.33386,1.33314,1.33374,1882.68999800086
20190402,22:00:00,1.33376,1.33404,1.33361,1.33404,1003.17999961972
20190402,23:00:00,1.33403,1.33441,1.33394,1.33431,1236.97999835014
20190403,00:00:00,1.33431,1.33528,1.33249,1.33275,5264.9400100708
20190403,01:00:00,1.33276,1.33322,1.33164,1.33172,3553.98000609875
20190403,02:00:00,1.33173,1.3321,1.33135,1.33183,2567.75001549721
20190403,03:00:00,1.33183,1.33216,1.33155,1.33176,1665.53000950813
20190403,04:00:00,1.33177,1.33202,1.33134,1.33147,1639.96000933647
20190403,05:00:00,1.33147,1.33169,1.33105,1.3311,2688.90000212193
